BinomName,rmax,depth_median,maxwt_all,log_wt,t_median,invtemp,invtemp_scaled,depth_scaled,OffspringWeightg,log_offspring,sizeratio
Acroteriobatus_annulatus,0.565979797,36.5,6984.015709,8.851379347,21.785,39.34754073,-0.332629897,-0.296547878,56.2,4.028916757,124.2707422
Aetobatus_flagellum,0.232729205,30,50000,10.81977828,23.402,39.1329916,-0.428394586,-0.308625329,364.27,5.897895351,137.260823
Pteromylaeus_bovinus,0.903413178,75,116000,11.66134547,16.501,40.0653439,-0.01223616,-0.225012206,606.66,6.407968502,191.2108924
Amblyraja_georgiana,0.175918412,637,11893.13914,9.38371697,3.089,42.01060287,0.856036395,0.819222804,60.99,4.110709916,195.0014616
Amblyraja_radiata,0.356450865,232.5,11400,9.341368634,6.258,41.53412546,0.643359181,0.067633727,7.55,2.021547563,1509.933775
Anoxypristis_cuspidata,0.555295804,20,707515.8811,13.46951536,27.55,38.59317235,-0.669344634,-0.327206024,1105.57,7.008116318,639.9557523
Aptychotrema_rostrata,0.18123601,110,6492.879645,8.778461416,21.272,39.41609977,-0.302028352,-0.159979776,5.69,1.738710248,1141.103628
Bathyraja_parmifera,0.345675904,928.5,18200,9.809176873,2.973,42.02825163,0.863913978,1.360850038,45.75,3.823191792,397.8142077
Rhinoraja_albomaculata,0.265188631,500,4293.324949,8.364816758,4.6255,41.77822351,0.752313128,0.564667295,7,1.945910149,613.3321356
Bathyraja_aleutica,0.273341887,808.5,23100,10.0475879,3.175,41.997528,0.850200388,1.137881708,7.9,2.066862759,2924.050633
Bathyraja_brachyurops,0.460763434,316,9691.632812,9.179018196,5.394,41.66295783,0.700863922,0.222782523,73.88,4.302442155,131.1807365
Bathyraja_lindbergi,0.217313262,659.5,4676.060025,8.450211159,3.3205,41.97542568,0.840334945,0.861029366,12.9,2.557227311,362.4852733
Bathyraja_maculata,0.179479612,633,8500,9.047821442,3.4425,41.95691107,0.832070891,0.811790526,9.73,2.275213896,873.5868448
Bathyraja_minispinosa,0.184627135,785,3854.155823,8.25690728,3.121,42.00573685,0.853864433,1.094217077,16.87,2.825536897,228.4621116
Rhinoraja_taranetzi,0.404960985,540,2682.748951,7.894597276,3.592,41.93424535,0.821953972,0.638990071,22.64,3.119718253,118.4959784
